id,douban_id,name,year,rating
132,1295644,这个杀手不太冷 Léon,1994,9.4
133,1292052,肖申克的救赎 The Shawshank Redemption,1994,9.6
134,1292064,楚门的世界 The Truman Show,1998,9.0
135,1300267,乱世佳人 Gone with the Wind,1939,9.2
136,2149806,入殓师 おくりびと,2008,8.8
137,1900841,窃听风暴 Das Leben der Anderen,2006,9.1
138,1306505,红高粱,1987,8.2
139,1291858,鬼子来了,2000,9.2
140,1787291,被嫌弃的松子的一生 嫌われ松子の一生,2006,8.9
141,6985810,狩猎 Jagten,2012,9.0
142,2297265,浪潮 Die Welle,2008,8.7
143,1388216,撞车 Crash,2004,8.6
144,5322596,超脱 Detachment,2011,8.8
145,1298759,狗镇 Dogville,2003,8.4
146,1793929,达拉斯买家俱乐部 Dallas Buyers Club,2013,8.6
147,1293182,十二怒汉 12 Angry Men,1957,9.4
148,1296736,钢琴家 The Pianist,2002,9.0
149,1292722,泰坦尼克号 Titanic,1997,9.2
150,1292679,春光乍泄 春光乍洩,1997,8.8
151,1297447,倩女幽魂,1987,8.6
152,1292528,猜火车 Trainspotting,1996,8.5
153,1291875,阳光灿烂的日子,1994,8.7
154,1291847,十七岁的单车,2001,7.7
155,1291548,死亡诗社 Dead Poets Society,1989,8.9
156,1292219,关于莉莉周的一切 リリイ·シュシュのすべて,2001,7.8
157,1291549,放牛班的春天 Les choristes,2004,9.2
158,1292720,阿甘正传 Forrest Gump,1994,9.4
159,1303021,小鞋子 بچههای آسمان,1997,9.2
160,1300056,四百击 Les quatre cents coups,1959,8.7
161,1305579,小毕的故事 小畢的故事,1983,8.4
162,1300572,童年往事,1985,8.8
163,1296370,爱情万岁 愛情萬歲,1994,7.7
164,1301098,黑暗之光,1999,8.1
165,1307054,美丽时光 美麗時光,2001,7.8
166,1309004,孔雀,2005,7.9
167,1301948,梦旅人 PicNic,1996,8.3
168,1308685,烟花 打ち上げ花火、下から見るか、横から見るか,1993,8.2
169,1304758,细路祥 細路祥,1999,8.5
170,1306861,我是山姆 I Am Sam,2001,8.8
171,3157605,巴黎淘气帮 Le petit Nicolas,2009,8.6
172,1306939,推手,1991,8.4
173,1300685,克莱默夫妇 Kramer vs. Kramer,1979,8.5
174,1292434,一一,2000,8.9
175,1316510,射雕英雄传之东成西就 射鵰英雄傳之東成西就,1993,8.7
176,1308162,女人四十 女人，四十,1995,8.8
177,1291568,东京物语 東京物語,1953,9.2
178,3792799,岁月神偷 歲月神偷,2010,8.6
179,2336785,爱丽丝梦游仙境 Alice in Wonderland,2010,7.0
180,1315574,加勒比海盗2：聚魂棺 Pirates of the Caribbean: Dead Man's Chest,2006,8.1
181,1296996,哈利·波特与密室 Harry Potter and the Chamber of Secrets,2002,8.1
182,1309052,"纳尼亚传奇1：狮子、女巫和魔衣橱 The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,7.2
183,1307931,小飞侠彼得潘 Peter Pan,2003,8.1
184,1428877,魔法保姆麦克菲 Nanny McPhee,2005,7.4
185,1966182,霍比特人1：意外之旅 The Hobbit: An Unexpected Journey,2012,8.1
186,1292370,剪刀手爱德华 Edward Scissorhands,1990,8.7
187,1485260,本杰明·巴顿奇事 The Curious Case of Benjamin Button,2008,8.7
188,1295038,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,2001,8.6
189,1291571,指环王1：魔戒再现 The Lord of the Rings: The Fellowship of the Ring,2001,8.9
190,1295229,木乃伊 The Mummy,1999,7.7
191,1578507,谍影重重3 The Bourne Ultimatum,2007,8.7
192,3068206,碟中谍4 Mission: Impossible - Ghost Protocol,2011,8.2
193,1292728,勇闯夺命岛 The Rock,1996,8.5
194,1860745,仙境之桥 Bridge to Terabithia,2007,7.8
195,1867335,星尘 Stardust,2007,7.6
196,1890572,坠入 The Fall,2006,8.8
197,1309021,康斯坦丁 Constantine,2005,7.7
198,3011049,姐姐的守护者 My Sister's Keeper,2009,8.3
199,1867345,遗愿清单 The Bucket List,2007,8.5
200,3552028,弱点 The Blind Side,2009,8.4
